start_utc,resolution_minutes,price_eur_mwh
2021-08-31T22:00:00Z,60,94.78
2021-08-31T23:00:00Z,60,95.00
2021-09-01T00:00:00Z,60,100.40
2021-09-01T01:00:00Z,60,102.76
2021-09-01T02:00:00Z,60,106.23
2021-09-01T03:00:00Z,60,104.70
2021-09-01T04:00:00Z,60,144.39
2021-09-01T05:00:00Z,60,141.21
2021-09-01T06:00:00Z,60,144.34
2021-09-01T07:00:00Z,60,145.97
2021-09-01T08:00:00Z,60,116.99
2021-09-01T09:00:00Z,60,109.75
2021-09-01T10:00:00Z,60,103.88
2021-09-01T11:00:00Z,60,98.00
2021-09-01T12:00:00Z,60,94.98
2021-09-01T13:00:00Z,60,95.06
2021-09-01T14:00:00Z,60,98.01
2021-09-01T15:00:00Z,60,117.97
2021-09-01T16:00:00Z,60,143.92
2021-09-01T17:00:00Z,60,155.90
2021-09-01T18:00:00Z,60,156.10
2021-09-01T19:00:00Z,60,130.73
2021-09-01T20:00:00Z,60,114.39
2021-09-01T21:00:00Z,60,102.73
2021-09-01T22:00:00Z,60,103.74
2021-09-01T23:00:00Z,60,114.40
2021-09-02T00:00:00Z,60,111.20
2021-09-02T01:00:00Z,60,105.40
2021-09-02T02:00:00Z,60,113.93
2021-09-02T03:00:00Z,60,115.00
2021-09-02T04:00:00Z,60,150.00
2021-09-02T05:00:00Z,60,164.91
2021-09-02T06:00:00Z,60,155.13
2021-09-02T07:00:00Z,60,153.27
2021-09-02T08:00:00Z,60,118.92
2021-09-02T09:00:00Z,60,113.00
2021-09-02T10:00:00Z,60,107.84
2021-09-02T11:00:00Z,60,100.99
2021-09-02T12:00:00Z,60,97.97
2021-09-02T13:00:00Z,60,105.05
2021-09-02T14:00:00Z,60,112.44
2021-09-02T15:00:00Z,60,122.66
2021-09-02T16:00:00Z,60,138.00
2021-09-02T17:00:00Z,60,180.79
2021-09-02T18:00:00Z,60,178.55
2021-09-02T19:00:00Z,60,130.43
2021-09-02T20:00:00Z,60,118.69
2021-09-02T21:00:00Z,60,113.25
2021-09-02T22:00:00Z,60,101.00
2021-09-02T23:00:00Z,60,102.99
